direcciones,lat,lon,num_accidentes
"carrera 64 C calle 78, TERMINAL DE TRANSPORTE, castilla, medellín","6,2788076","-75,5723384",694
"carrera 64 C calle 67, CARIBE, castilla, medellín","6,2725934","-75,5734291",416
"carrera 80 calle 65, FACULTAD DE MINAS U. NACIONAL, robledo, medellín","6,275996","-75,5897097",389
"carrera 52 calle 10, CAMPO AMOR, guayabal, medellín","6,1995707","-75,5889966",382
"carrera 63 calle 44, NARANJAL, laureles estadio, medellín","6,2505845","-75,5797045",367
"carrera 48 calle 10, MANILA, el poblado, medellín","6,2120062","-75,5740143",358
"carrera 64 C calle 72, CARIBE, castilla, medellín","6,2704343","-75,5739463",355
"carrera 57 calle 44, GUAYAQUIL, la candelaria, medellín","6,2474957","-75,5752785",324
"carrera 65 calle 10, CAMPO AMOR, guayabal, medellín","6,215237","-75,5824685",282
"carrera 65 calle 80, TERMINAL DE TRANSPORTE, castilla, medellín","6,2918356","-75,5693938",277
"carrera 46 calle 52, LA CANDELARIA, la candelaria, medellín","6,2491207","-75,5650152",276
"carrera 50 calle 30, PERPETUO SOCORRO, la candelaria, medellín","6,2336161","-75,5741992",263
"calle 44 carrera 52, GUAYAQUIL, la candelaria, medellín","6,2450371","-75,5714442",258
"carrera 48 calle 12 Sur, LA AGUACATALA, el poblado, medellín","6,1943633","-75,5787054",254
"carrera 80 calle 80, LÓPEZ DE MESA, robledo, medellín","6,2840135","-75,5837094",252
"carrera 50 calle 10, CAMPO AMOR, guayabal, medellín","6,2123854","-75,5789075",244
"carrera 65 calle 67, CARIBE, castilla, medellín","6,2680044","-75,5768564",243
"carrera 64 C calle 104, LAS BRISAS, castilla, medellín","6,301418","-75,563905",236
"calle 44 carrera 80, LOS PINOS, la américa, medellín","6,2507048","-75,6028165",235
"calle 33 carrera 66 B, LOS CONQUISTADORES, laureles estadio, medellín","6,2392579","-75,5874964",229
"carrera 46 calle 47, LA CANDELARIA, la candelaria, medellín","6,2461403","-75,56677",214
"calle 44 carrera 57, CORAZÓN DE JESÚS, la candelaria, medellín","6,246983","-75,577631",214
"carrera 63 calle 48, SURAMERICANA, laureles estadio, medellín","6,2516834","-75,5792071",213
"carrera 50 calle 25, SANTA FÉ, guayabal, medellín","6,2253387","-75,5771036",207
"carrera 46 calle 45, BARRIO COLÓN, la candelaria, medellín","6,2449655","-75,567874",206
"carrera 63 calle 33, LOS CONQUISTADORES, laureles estadio, medellín","6,2404832","-75,5784947",205
"carrera 55 calle 37, CALLE NUEVA, la candelaria, medellín","6,24232","-75,5754591",205
"carrera 50 calle 14, SANTA FÉ, guayabal, medellín","6,2169895","-75,5782622",200
"carrera 49 calle 12 Sur, SANTA MARÍA DE LOS ÁNGELES, el poblado, medellín","6,1947339","-75,579921",196
"calle 10 carrera 48, MANILA, el poblado, medellín","6,2130746","-75,5762004",191
"carrera 80 calle 30, BELÉN, belén, medellín","6,231048","-75,6005958",187
"carrera 57 calle 44, LA ALPUJARRA, la candelaria, medellín","6,2451247","-75,5760901",186
"carrera 80 calle 55, LOS COLORES, laureles estadio, medellín","6,2689087","-75,5955479",180
"carrera 62 calle 67, UNIVERSIDAD DE ANTIOQUIA, aranjuez, medellín","6,2673681","-75,5697871",180
"calle 10 carrera 52, CAMPO AMOR, guayabal, medellín","6,215237","-75,5824685",177
"calle 44 carrera 65, NARANJAL, laureles estadio, medellín","6,2487017","-75,5835532",176
"carrera 57 calle 49, SAN BENITO, la candelaria, medellín","6,2512566","-75,574939",174
"carrera 52 calle 25, SANTA FÉ, guayabal, medellín","6,2259087","-75,5784",174
"carrera 57 calle 57, EL CHAGUALO, la candelaria, medellín","6,2592016","-75,5719107",173
"carrera 51 calle 67, SAN PEDRO, aranjuez, medellín","6,266426","-75,5622185",172
"carrera 43 A calle 30, SAN DIEGO, la candelaria, medellín","6,2297415","-75,5697319",170
"calle 67 carrera 64 C, UNIVERSIDAD NACIONAL, robledo, medellín","6,2747016","-75,5729903",170
"calle 44 carrera 50, GUAYAQUIL, la candelaria, medellín","6,2443692","-75,5697641",169
"carrera 46 calle 50, LA CANDELARIA, la candelaria, medellín","6,2483116","-75,5651256",169
"carrera 80 calle 76, VILLA FLORA, robledo, medellín","6,2773486","-75,5894256",165
"calle 71 carrera 65, EL PROGRESO, castilla, medellín","6,2689854","-75,5764802",164
"carrera 52 calle 6 Sur, GUAYABAL, guayabal, medellín","6,2053805","-75,5868364",164
"carrera 57 calle 51, SAN BENITO, la candelaria, medellín","6,255626","-75,57354",161
"carrera 57 calle 46, GUAYAQUIL, la candelaria, medellín","6,2491701","-75,5750174",159
"carrera 46 calle 57, VILLA NUEVA, la candelaria, medellín","6,253343","-75,5622515",158
"calle 67 carrera 51, SEVILLA, aranjuez, medellín","6,2641212","-75,5646383",158
"carrera 64 C calle 80, TERMINAL DE TRANSPORTE, castilla, medellín","6,2924634","-75,5683135",157
"carrera 80 calle 50, EL ESTADIO, laureles estadio, medellín","6,2618719","-75,5933141",156
"carrera 57 calle 58, JESÚS NAZARENO, la candelaria, medellín","6,2577326","-75,5708772",155
"calle 10 carrera 50, CAMPO AMOR, guayabal, medellín","6,215237","-75,5824685",155
"carrera 52 calle 12 Sur, GUAYABAL, guayabal, medellín","6,1977908","-75,5898764",154
"carrera 63 calle 50, CARLOS E. RESTREPO, laureles estadio, medellín","6,256172","-75,581079",153
"carrera 57 calle 48, GUAYAQUIL, la candelaria, medellín","6,2500979","-75,5749747",153
"carrera 43 A calle 31, SAN DIEGO, la candelaria, medellín","6,2312485","-75,5699852",150
"carrera 57 calle 54, SAN BENITO, la candelaria, medellín","6,2557611","-75,5737455",149
"carrera 65 calle 97, CASTILLA, castilla, medellín","6,2916853","-75,5694278",149
"carrera 48 calle 4 Sur, LA AGUACATALA, el poblado, medellín","6,2032762","-75,5771698",148
"calle 50 carrera 65, CARLOS E. RESTREPO, laureles estadio, medellín","6,256172","-75,581079",147
"carrera 46 calle 56, VILLA NUEVA, la candelaria, medellín","6,2526408","-75,5626688",146
"carrera 80 calle 33, LAS ACACIAS, laureles estadio, medellín","6,2387757","-75,6002291",145
"carrera 57 calle 55, SAN BENITO, la candelaria, medellín","6,2563662","-75,5731473",144
"carrera 46 calle 49, LA CANDELARIA, la candelaria, medellín","6,2450378","-75,5610181",142
"calle 80 carrera 80, EL DIAMANTE, robledo, medellín","6,284437","-75,5841597",140
"calle 67 carrera 55, UNIVERSIDAD DE ANTIOQUIA, aranjuez, medellín","6,2677479","-75,5688416",138
"carrera 80 calle 50, LOS COLORES, laureles estadio, medellín","6,2625739","-75,5947823",137
"carrera 1 calle 1, SUBURBANO EL PLAN, corregimiento de santa elena, medellín","6,2091026","-75,497758",136
"carrera 55 calle 41, CENTRO ADMINISTRATIVO, la candelaria, medellín","6,2424872","-75,5752189",136
"carrera 49 calle 10, MANILA, el poblado, medellín","6,2120062","-75,5740143",132
"calle 67 carrera 52, SEVILLA, aranjuez, medellín","6,2643796","-75,5663724",131
"carrera 63 calle 67, UNIVERSIDAD NACIONAL, robledo, medellín","6,2656731","-75,5747958",131
"carrera 57 calle 45, GUAYAQUIL, la candelaria, medellín","6,2475785","-75,5750619",131
"carrera 48 calle 7, PATIO BONITO, el poblado, medellín","6,2087851","-75,5766276",130
"carrera 63 calle 58, UNIVERSIDAD NACIONAL, robledo, medellín","6,3420263","-75,5670331",129
"carrera 52 calle 14, SANTA FÉ, guayabal, medellín","6,2177729","-75,5805851",129
"carrera 55 calle 44, GUAYAQUIL, la candelaria, medellín","6,2462176","-75,5744983",128
"calle 76 carrera 80, VILLA FLORA, robledo, medellín","6,2773486","-75,5894256",128
"carrera 52 calle 78, MIRANDA, aranjuez, medellín","6,2728788","-75,5644801",128
"carrera 46 calle 48, LA CANDELARIA, la candelaria, medellín","6,2467787","-75,5662475",127
"carrera 43 A calle 6 Sur, LOS BALSOS NO.2, el poblado, medellín","6,1992219","-75,5733142",127
"carrera 46 calle 41, BARRIO COLÓN, la candelaria, medellín","6,2411004","-75,5697206",127
"carrera 46 calle 53, LA CANDELARIA, la candelaria, medellín","6,2505456","-75,5638417",127
"carrera 62 calle 50, SAN BENITO, la candelaria, medellín","6,2465961","-75,5784849",126
"carrera 80 calle 44, LA AMÉRICA, la américa, medellín","6,2507048","-75,6028165",125
"carrera 38 calle 26, SAN DIEGO, la candelaria, medellín","6,2245397","-75,5658604",125
"carrera 62 calle 44, CORAZÓN DE JESÚS, la candelaria, medellín","6,2491376","-75,5792172",125
"calle 44 carrera 51, GUAYAQUIL, la candelaria, medellín","6,2447754","-75,5707483",125
"carrera 65 calle 14, SANTA FÉ, guayabal, medellín","6,2178003","-75,5815115",125
"carrera 66 B calle 34 A, LOS CONQUISTADORES, laureles estadio, medellín","6,2408799","-75,5881126",124
"calle 58 carrera 63, UNIVERSIDAD NACIONAL, robledo, medellín","6,1782804","-75,6437343",123
"carrera 62 calle 58, EL CHAGUALO, la candelaria, medellín","6,2547209","-75,5621789",123
"calle 44 carrera 59, CORAZÓN DE JESÚS, la candelaria, medellín","6,247204","-75,5775604",122
"calle 58 carrera 49, VILLA NUEVA, la candelaria, medellín","6,253722","-75,5644397",122
"calle 44 carrera 70, FLORIDA NUEVA, laureles estadio, medellín","6,24917","-75,5888245",121
"carrera 48 calle 14, VILLA CARLOTA, el poblado, medellín","6,214952","-75,5760158",119
"DG 64 E calle 67, CARIBE, castilla, medellín","6,2674063","-75,5761529",117